 00:18:11 up  4:23,  0 users,  load average: 0.20, 0.07, 0.06
 00:18:12 up  4:23,  0 users,  load average: 0.20, 0.07, 0.06
 00:18:13 up  4:23,  0 users,  load average: 0.20, 0.07, 0.06
 00:18:14 up  4:23,  0 users,  load average: 0.20, 0.07, 0.06
 00:18:15 up  4:23,  0 users,  load average: 0.18, 0.07, 0.06
 00:18:16 up  4:23,  0 users,  load average: 0.18, 0.07, 0.06
 00:18:17 up  4:23,  0 users,  load average: 0.18, 0.07, 0.06
 00:18:18 up  4:23,  0 users,  load average: 0.18, 0.07, 0.06
 00:18:19 up  4:23,  0 users,  load average: 0.18, 0.07, 0.06
 00:18:20 up  4:23,  0 users,  load average: 0.17, 0.07, 0.06
 00:18:21 up  4:23,  0 users,  load average: 0.17, 0.07, 0.06
 00:18:22 up  4:23,  0 users,  load average: 0.17, 0.07, 0.06
 00:18:23 up  4:23,  0 users,  load average: 0.17, 0.07, 0.06
