procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 1771604   7468 225608    0    0     0     0    1    1  0  0 100  0  0
 0  0      0 1771588   7468 225608    0    0     0     0   21   37  0  0 100  0  0
 0  0      0 1771588   7468 225608    0    0     0     0   12   20  0  0 100  0  0
 0  0      0 1771588   7476 225604    0    0     0    24   25   39  0  0 100  0  0
 0  0      0 1771620   7476 225608    0    0     0     0   17   26  0  0 100  0  0
 0  0      0 1771620   7476 225608    0    0     0     0   12   22  0  0 100  0  0
 0  0      0 1771620   7476 225608    0    0     0     0   13   23  0  0 100  0  0
 0  0      0 1771620   7476 225608    0    0     0     0   14   27  0  0 100  0  0
 0  0      0 1771620   7476 225608    0    0     0   120   26   30  0  0 100  0  0
 0  0      0 1771616   7484 225604    0    0     0    12   24   40  0  0 100  0  0
 0  0      0 1771604   7484 225604    0    0     0     0   15   22  0  0 100  0  0
 0  0      0 1771604   7484 225604    0    0     0     0   10   21  0  0 100  0  0
 0  0      0 1771600   7484 225608    0    0     0     0   13   24  0  0 100  0  0
 0  0      0 1771596   7484 225612    0    0     0     0   17   24  0  0 100  0  0
 0  0      0 1771588   7484 225612    0    0     0     0   14   24  0  0 100  0  0
 0  0      0 1771580   7492 225612    0    0     0    12   21   32  0  0 100  0  0
 0  0      0 1771564   7492 225612    0    0     0     0   17   27  0  0 100  0  0
 0  0      0 1771564   7492 225612    0    0     0     0   12   20  0  0 100  0  0
 0  0      0 1771564   7492 225612    0    0     0    28   20   22  0  0 100  0  0
 0  0      0 1771564   7492 225612    0    0     0     0   13   26  0  0 100  0  0
 0  0      0 1771564   7492 225612    0    0     0     0   16   28  0  0 100  0  0
 0  0      0 1771564   7500 225608    0    0     0    28   19   36  0  0 100  0  0
 0  0      0 1771596   7500 225608    0    0     0     0   14   22  0  0 100  0  0
 0  0      0 1771596   7500 225608    0    0     0     8   16   22  0  0 100  0  0
 0  0      0 1771596   7500 225608    0    0     0     0   14   26  0  0 100  0  0
 0  0      0 1771596   7500 225608    0    0     0     0   15   24  0  0 100  0  0
 0  0      0 1771596   7500 225612    0    0     0     0   18   28  0  0 100  0  0
 0  0      0 1771596   7508 225608    0    0     0    20   17   28  0  0 100  0  0
 0  0      0 1771596   7508 225608    0    0     0     0   13   20  0  0 100  0  0
 0  0      0 1771596   7508 225608    0    0     0     0   21   39  0  0 100  0  0
 0  0      0 1771596   7508 225608    0    0     0     0   14   24  0  0 100  0  0
 0  0      0 1771596   7508 225608    0    0     0     0   15   20  0  0 100  0  0
 0  0      0 1771596   7508 225612    0    0     0     0   16   26  0  0 100  0  0
 0  0      0 1771596   7516 225608    0    0     0    12   20   32  0  0 100  0  0
 0  0      0 1771596   7516 225608    0    0     0     0   14   20  0  0 100  0  0
 0  0      0 1771596   7516 225608    0    0     0     0   11   20  0  0 100  0  0
 0  0      0 1771596   7516 225608    0    0     0     0   16   26  0  0 100  0  0
 0  0      0 1771596   7516 225608    0    0     0     0   16   24  0  0 100  0  0
 1  0      0 1771596   7516 225612    0    0     0     0   18   26  0  0 100  0  0
 0  0      0 1771596   7524 225612    0    0     0    12   29   43  0  0 99  1  0
 0  0      0 1771596   7524 225612    0    0     0     0   12   22  0  0 100  0  0
 0  0      0 1771596   7524 225612    0    0     0     0   13   20  0  0 100  0  0
 0  0      0 1771628   7524 225612    0    0     0     0   12   23  0  0 100  0  0
 0  0      0 1771628   7524 225612    0    0     0    20   16   24  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 1771628   7524 225616    0    0     0     0   19   33  0  0 100  0  0
 0  0      0 1771628   7532 225612    0    0     0    12   21   33  0  0 100  0  0
 0  0      0 1771628   7532 225612    0    0     0     0   15   24  0  0 100  0  0
 0  0      0 1771628   7532 225612    0    0     0     0   12   20  0  0 100  0  0

