us,sy,id
4,1,95
18,2,80
16,2,82
18,2,80
24,1,76
42,2,56
7,1,92
4,1,95
17,2,81
34,3,63
16,2,82
39,3,58
35,2,63
94,6,0
95,5,0
95,5,0
89,4,7
36,1,62
36,1,63
10,1,89
24,1,75
38,1,61
35,2,64
2,1,97
1,0,99
20,1,79
35,1,64
12,1,87
2,1,98
12,1,87
31,1,68
45,1,54
25,1,74
21,1,78
6,1,93
34,1,64
1,0,98
12,1,86
39,1,60
1,0,98
25,2,74
22,1,77
36,1,63
47,1,52
5,1,94
27,3,70
80,5,15
30,5,65
39,1,60
37,1,62
17,1,82
11,1,88
13,1,85
5,1,94
20,2,78
4,1,95
6,1,93
6,1,93
6,1,93
6,1,93
6,1,94
5,1,94
6,1,93
6,1,93
6,1,93
6,1,93
6,1,93
6,1,93
6,1,93
6,1,93
6,1,93
6,1,93
6,1,93
7,1,92
6,1,93
9,4,87
7,1,92
14,1,85
64,4,32
27,2,71
7,1,92
6,1,93
7,1,92
6,1,93
7,1,93
6,1,93
7,1,92
6,1,93
7,1,92
7,1,92
8,1,92
7,1,92
7,1,92
7,1,92
7,1,92
7,1,92
7,1,92
7,1,92
7,1,92
90,2,7
90,2,8
90,2,8
91,2,7
14,2,84
3,1,96
8,1,91
5,1,94
7,2,91
30,3,67
59,6,35
36,4,60
34,3,64
30,3,67
30,3,67
31,3,66
27,6,67
27,2,71
27,2,70
28,2,70
30,3,67
29,3,68
30,3,67
29,3,68
30,2,68
30,3,67
31,3,66
30,2,67
31,3,66
29,2,68
31,3,66
29,2,68
31,3,67
32,2,66
33,2,65
14,5,82
3,1,97
